,ADDRESS,BUSINESS_NAME,BUSINESS_YELP_URL,CITY,COUNTRY,LAT,LON,YELP_BIZ_ID
735,"Alameda, CA 94577 United States",The Furnace Barber Studio ,https://www.yelp.com/biz/the-furnace-barber-studio-san-leandro,San Leandro,United States,37.7205,-122.1587,the-furnace-barber-studio-san-leandro
739,"Alameda, CA 94578 United States",Chroma Photobooth,https://www.yelp.com/biz/chroma-photobooth-san-francisco-2,San Leandro,United States,37.7024,-122.124,chroma-photobooth-san-francisco-2
743,"Philadelphia, PA 19121 United States",Brewerytown Beats,https://www.yelp.com/biz/brewerytown-beats-philadelphia-2,Philadelphia,United States,39.9811,-75.174,brewerytown-beats-philadelphia-2
748,"San Francisco, CA 94103 United States",RedBridge Trading Association,http://www.yelp.com/biz/redbridge-trading-company-san-francisco,San Francisco,United States,37.7725,-122.4147,redbridge-trading-company-san-francisco
754,"Napa, CA 94559 United States",The Painted Lady Tanning & Spa,http://www.yelp.com/biz/the-painted-lady-tanning-and-spa-napa,Napa,United States,38.2904,-122.2841,the-painted-lady-tanning-and-spa-napa
757,"Lake, IL 60044 United States",L'abeille Vintage,http://www.yelp.com/biz/l-abeille-vintage-lake-bluff,Lake Bluff,United States,42.282,-87.856,l-abeille-vintage-lake-bluff
770,"Monroe, NY 14605 United States",Roc City City Chicken,https://www.yelp.com/biz/roc-city-chicken-rochester,Rochester,United States,43.1698,-77.6007,roc-city-chicken-rochester
775,"Alameda, CA 94608 United States",Ooh la Lah Beauty Lounge,https://www.yelp.com/biz/ooh-la-lah-beauty-lounge-oakland,Emeryville,United States,37.8365,-122.2804,ooh-la-lah-beauty-lounge-oakland
778,"Kings, NY 11221 United States",The Nail Belle,http://www.yelp.com/biz/the-nail-belle-brooklyn,Brooklyn,United States,40.6907,-73.9274,the-nail-belle-brooklyn
783,"Denton, TX 76266 United States",Jolly Green Services,https://www.yelp.com/biz/jolly-green-services-sanger,Sanger,United States,33.3563,-97.1814,jolly-green-services-sanger
788,"Butler, OH 45044 United States",D & D Doggy Wash Grooming Salon LLC,http://www.yelp.com/biz/d-and-d-doggy-wash-and-grooming-salon-middletown,Middletown,United States,39.4182,-84.4245,d-and-d-doggy-wash-and-grooming-salon-middletown
790,"Travis, TX 78748 United States",Woodchuck Delivery,http://www.yelp.com/biz/woodchuck-delivery-austin,Austin,United States,30.1743,-97.8225,woodchuck-delivery-austin
793,"Queens, NY 11691 United States",Scotch Bonnet Grill .Inc,http://www.yelp.com/biz/scotch-bonnet-grill-brooklyn,Queens,United States,40.6006,-73.758,scotch-bonnet-grill-brooklyn
808,"Philadelphia, PA 19139 United States","Got Laundry?, LLC",https://www.yelp.com/biz/got-laundry-philadelphia,Philadelphia,United States,39.9612,-75.2303,got-laundry-philadelphia
813,"Los Angeles, CA 90016 United States",Stuzo Clothing,https://www.yelp.com/biz/stuzo-clothing-los-angeles,Los Angeles,United States,34.0298,-118.3528,stuzo-clothing-los-angeles
828,"Genesee, MI 48504 United States",Chubby Duck LLC,https://www.yelp.com/biz/chubby-duck-detroit,Flint,United States,43.0573,-83.7498,chubby-duck-detroit
836,"Kings, NY 11217 United States",Sacred Burlesque,https://www.yelp.com/biz/sacred-studio-brooklyn-2,Brooklyn,United States,40.6816,-73.9798,sacred-studio-brooklyn-2
850,"Hays, TX 78620 United States",Le Muse Coffee and Wine Bar,http://www.yelp.com/biz/le-muse-coffee-and-wine-bar-dripping-springs,Dripping Springs,United States,30.2268,-98.1029,le-muse-coffee-and-wine-bar-dripping-springs
853,"Cook, IL 60805 United States",Health is Wealth Wellness Center,http://www.yelp.com/biz/health-is-wealth-wellness-center-evergreen-park,Evergreen Park,United States,41.722,-87.7024,health-is-wealth-wellness-center-evergreen-park
895,"Kenosha, WI 53140 United States","Robin's Nest Cakery, Inc.",https://www.yelp.com/biz/robins-nest-cakery-kenosha,Kenosha,United States,42.6052,-87.8299,robins-nest-cakery-kenosha
906,"Baltimore (city), MD 21206 United States","Hazell A.R.T. & Apparel, LLC",https://www.yelp.com/biz/hazell-art-and-apparel-baltimore-3,Baltimore,United States,39.3365,-76.5411,hazell-art-and-apparel-baltimore-3
914,"Wayne, MI 48209 United States",Fractured Acre Farms,http://www.yelp.com/biz/fractured-acre-farms-detroit,Detroit,United States,42.3097,-83.1155,fractured-acre-farms-detroit
934,"Clackamas, OR 97267 United States",Incognito Concealed Carry Accessories,https://www.yelp.com/biz/incognito-gun-concealed-accessories-milwaukie-2,Portland,United States,45.4021,-122.6144,incognito-gun-concealed-accessories-milwaukie-2
951,"Alameda, CA 94607 United States",Mandela Foods Cooperative,http://www.yelp.com/biz/mandela-foods-cooperative-oakland,Oakland,United States,37.8071,-122.2851,mandela-foods-cooperative-oakland
962,"San Mateo, CA 94402 United States",Students With Muscle,http://www.yelp.com/biz/students-with-muscle-san-mateo,San Mateo,United States,37.5507,-122.3276,students-with-muscle-san-mateo
999,"New York County, NY 10000 United States","Sanders Phys, LLC",http://www.yelp.com/biz/sandersphys-new-york,New York City,United States,40.7069,-73.6731,sandersphys-new-york
1014,"Alameda, CA 94607 United States",Skincare by Feleciai,http://www.yelp.com/biz/skincare-by-feleciai-oakland,Oakland,United States,37.8071,-122.2851,skincare-by-feleciai-oakland
1028,"District of Columbia, DC 20009 United States","Capital Soul, LLC",http://www.yelp.com/biz/capital-kombucha-washington,Washington,United States,38.9202,-77.0375,capital-kombucha-washington
1039,"San Francisco, CA 94109 United States",Taproot Wines,http://www.yelp.com/biz/taproot-wines-san-francisco,San Francisco,United States,37.7917,-122.4186,taproot-wines-san-francisco
1044,"Henrico, VA 23230 United States",Onetribe LLC,http://www.yelp.com/biz/onetribe-richmond,Richmond,United States,37.5921,-77.4952,onetribe-richmond
1045,"Alameda, CA 94610 United States",Ancestral Apothecary,http://www.yelp.com/biz/ancestral-apothecary-oakland,Oakland,United States,37.8126,-122.2443,ancestral-apothecary-oakland
1047,"Alameda, CA 94550 United States",Delta Carpet Cleaning,http://www.yelp.com/biz/delta-carpet-cleaning-livermore,Livermore,United States,37.683,-121.763,delta-carpet-cleaning-livermore
1048,"Washington, OR 97005 United States",Pest Solutions LLC.,http://www.yelp.com/biz/pest-solutions-llc-beaverton,Beaverton,United States,45.4963,-122.8001,pest-solutions-llc-beaverton
1055,"San Francisco, CA 94110 United States",Sour Flour,http://www.yelp.com/biz/sour-flour-san-francisco,San Francisco,United States,37.7509,-122.4153,sour-flour-san-francisco
1057,"Alameda, CA 94612 United States",Uptown Juice Company,http://www.yelp.com/biz/uptown-juice-company-pop-up-at-solespace-oakland-3,Oakland,United States,37.8085,-122.2668,uptown-juice-company-pop-up-at-solespace-oakland-3
1062,"Prince George's, MD 20770 United States",Marche Undetectable Hair Systems,http://www.yelp.com/biz/marche-undetectable-hair-systems-greenbelt,Greenbelt,United States,38.9996,-76.884,marche-undetectable-hair-systems-greenbelt
1069,"Alameda, CA 94612 United States",Studio 1924,http://www.yelp.com/biz/studio-1924-oakland,Oakland,United States,37.8085,-122.2668,studio-1924-oakland
1085,"Loudoun, VA 20147 United States",SpiderSmart of Ashburn,http://www.yelp.com/biz/spidersmart-of-ashburn-ashburn-2,Ashburn,United States,39.0373,-77.4805,spidersmart-of-ashburn-ashburn-2
1090,"Alameda, CA 94609 United States",Homestead Apothecary,http://www.yelp.com/biz/the-homestead-apothecary-oakland,Oakland,United States,37.8361,-122.2637,the-homestead-apothecary-oakland
1096,"Orange, FL 32806 United States",Holistic Health Orlando,http://www.yelp.com/biz/holistic-health-orlando-orlando,Orlando,United States,28.514,-81.357,holistic-health-orlando-orlando
1097,"Philadelphia, PA 19120 United States",Philly Bread,http://www.yelp.com/biz/philly-bread-philadelphia,Philadelphia,United States,40.0343,-75.1213,philly-bread-philadelphia
1102,"San Francisco, CA 94118 United States",Poetica Art and Antiques,https://www.yelp.com/biz/poetica-art-and-antiques-san-francisco,San Francisco,United States,37.7812,-122.4614,poetica-art-and-antiques-san-francisco
1103,"San Francisco, CA 94102 United States",Kipper Clothiers,http://www.yelp.com/biz/kipper-clothiers-san-francisco,San Francisco,United States,37.7813,-122.4167,kipper-clothiers-san-francisco
1113,"Allegheny, PA 15206 United States",Pittsburgh Pie Guy,http://www.yelp.com/biz/pittsburgh-pie-guy-pittsburgh,Pittsburgh,United States,40.4723,-79.9132,pittsburgh-pie-guy-pittsburgh
1119,"San Francisco, CA 94104 United States",Endorfin Chocolat,http://www.yelp.com/biz/endorfin-oakland,San Francisco,United States,37.7915,-122.4018,endorfin-oakland
1122,"San Francisco, CA 94124 United States",Delia's Little Angels Family Child Care,http://www.yelp.com/biz/delias-little-angels-san-francisco,San Francisco,United States,37.7309,-122.3886,delias-little-angels-san-francisco
1123,"Merced, CA 95341 United States",FishBowl Photography,http://www.yelp.com/biz/fishbowl-photography-modesto,Merced,United States,37.2308,-120.5144,fishbowl-photography-modesto
1125,"Los Angeles, CA 90046 United States",Super Donut House,http://www.yelp.com/biz/super-donut-house-los-angeles,Los Angeles,United States,34.1074,-118.3652,super-donut-house-los-angeles
1145,"Oakland, MI 48237 United States",Loose Massage Therapy Plus LLC,http://www.yelp.com/biz/loose-massage-therapy-plus-llc-oak-park,Oak Park,United States,42.4662,-83.184,loose-massage-therapy-plus-llc-oak-park
1158,"Los Angeles, CA 90247 United States",Meiji Tofu,http://www.yelp.com/biz/meiji-tofu-gardena,Gardena,United States,33.8925,-118.2961,meiji-tofu-gardena
1185,"Baker County, GA 31721 United States",Lightway Products LLC,http://www.yelp.com/biz/lightway-products-llc-atlanta,Albany,United States,31.5105,-84.3087,lightway-products-llc-atlanta
1194,"San Francisco, CA 94102 United States",Warm Planet Bikes,http://www.yelp.com/biz/warm-planet-bikes-san-francisco,San Francisco,United States,37.7813,-122.4167,warm-planet-bikes-san-francisco
1198,"Orange, CA 92612 United States",Avocado Cafe - Irvine,http://www.yelp.com/biz/avocado-cafe-irvine,Irvine,United States,33.6607,-117.8264,avocado-cafe-irvine
1206,"Alameda, CA 94612 United States",Oakstop,http://www.yelp.com/biz/oakstop-oakland,Oakland,United States,37.8085,-122.2668,oakstop-oakland
1215,"Alameda, CA 94609 United States",Grease Box,http://www.yelp.com/biz/grease-box-oakland-2,Oakland,United States,37.8361,-122.2637,grease-box-oakland-2
1217,"Philadelphia, PA 19125 United States",Girard Brasserie & Bruncherie,http://www.yelp.com/biz/girard-brasserie-and-bruncherie-philadelphia-2,Philadelphia,United States,39.9788,-75.1262,girard-brasserie-and-bruncherie-philadelphia-2
1224,"New York, NY 10027 United States",Groovefit,http://www.yelp.com/biz/groovefit-new-york,Manhattan,United States,40.8116,-73.955,groovefit-new-york
1225,"Queens, NY 11101 United States",Tesage,http://www.yelp.com/biz/tesage-by-yukiko-sato-new-york-long-island-city,Queens,United States,40.7446,-73.9345,tesage-by-yukiko-sato-new-york-long-island-city
1229,"Kings, NY 11232 United States",Vegan reGrub dba Marty's Vegan Fast Food,http://www.yelp.com/biz/martys-vegan-fast-foods-brooklyn,Brooklyn,United States,40.6521,-74.0018,martys-vegan-fast-foods-brooklyn
1231,"San Francisco, CA 94117 United States",Aline's Closet ,http://www.yelp.fr/biz/alines-closet-san-francisco,San Francisco,United States,37.7712,-122.4413,alines-closet-san-francisco
1233,"San Francisco, CA 94103 United States",Artful Gentleman,http://www.yelp.com/biz/artful-gentleman-san-francisco,San Francisco,United States,37.7725,-122.4147,artful-gentleman-san-francisco
1240,"New York, NY 10040 United States",CKP Events Inc.,http://www.yelp.com/biz/ckp-events-inc-new-york,Manhattan,United States,40.8583,-73.9296,ckp-events-inc-new-york
1241,"Olmsted, MN 55901 United States",Catering For All It's Worth,https://www.yelp.com/biz/catering-for-all-its-worth-rochester,Rochester,United States,44.0496,-92.4896,catering-for-all-its-worth-rochester
1249,"New York, NY 10039 United States",Pinky Jamaican and American Restaurant,http://www.yelp.com/biz/pinkys-jamaican-and-american-restaurant-new-york,Manhattan,United States,40.8265,-73.9383,pinkys-jamaican-and-american-restaurant-new-york
1250,"Jefferson, KY 40216 United States",BAREfit Adventure Training,http://www.yelp.com/biz/barefit-adventure-training-louisville,Louisville,United States,38.1865,-85.8335,barefit-adventure-training-louisville
1254,"San Diego, CA 92103 United States",Pure Skin Lounge,http://www.yelp.com/biz/pure-skin-lounge-san-diego,San Diego,United States,32.7466,-117.1636,pure-skin-lounge-san-diego
1263,"Alameda, CA 94612 United States",Viscera,http://www.yelp.com/biz/viscera-oakland,Oakland,United States,37.8085,-122.2668,viscera-oakland
1271,"Alameda, CA 94612 United States",Audrey B Boutique,http://www.yelp.com/biz/audrey-b-boutique-oakland,Oakland,United States,37.8085,-122.2668,audrey-b-boutique-oakland
1278,"Kings, NY 11211 United States",Bibber & Bell Wine and Spirits,http://www.yelp.com/biz/bibber-and-bell-brooklyn,Brooklyn,United States,40.7095,-73.9563,bibber-and-bell-brooklyn
1286,"Los Angeles, CA 90814 United States",So Cal Farmers' Markets,http://www.yelp.com/biz/lakewood-center-farmers-market-lakewood,Long Beach,United States,33.7716,-118.148,lakewood-center-farmers-market-lakewood
1292,"San Francisco, CA 94124 United States",Delia's Little Angeles Family Child Care,https://www.yelp.com/biz/delias-little-angels-san-francisco,San Francisco,United States,37.7309,-122.3886,delias-little-angels-san-francisco
1294,"District of Columbia, DC 20009 United States",Ezra Paul Clothing,http://www.yelp.com/biz/ezra-paul-clothing-washington,Washington,United States,38.9202,-77.0375,ezra-paul-clothing-washington
1296,"District of Columbia, DC 20002 United States",Capitol Kettle Corn & Popcorn Inc.,https://www.yelp.com/biz/capitol-kettle-corn-washington,Washington,United States,38.9024,-76.9901,capitol-kettle-corn-washington
1302,"Alameda, CA 94587 United States",TC Jewelry Design,http://www.yelp.com/biz/tc-and-company-union-city,Union City,United States,37.5895,-122.0497,tc-and-company-union-city
1307,"Polk, OR 97351 United States",The Three Legged Dog Public House,http://www.yelp.com/biz/three-legged-dog-public-house-independence,Independence,United States,44.8481,-123.1879,three-legged-dog-public-house-independence
1308,"Cook, IL 60612 United States",Northern Lights Poutine & Deli,http://www.yelp.com/biz/northern-lights-poutine-and-deli-chicago,Chicago,United States,41.8805,-87.6873,northern-lights-poutine-and-deli-chicago
1310,"Lee, FL 33904 United States",Imagine by Carleen,http://www.yelp.com/biz/imagine-by-carleen-cape-coral-2,Cape Coral,United States,26.6065,-81.9502,imagine-by-carleen-cape-coral-2
1318,"Philadelphia, PA 19125 United States",Amalgam Comics & Coffeehouse,http://www.yelp.com/biz/amalgam-comics-and-coffeehouse-philadelphia,Philadelphia,United States,39.9788,-75.1262,amalgam-comics-and-coffeehouse-philadelphia
1323,"San Mateo, CA 94066 United States",Matalasi Skin Care & Makeup,https://www.yelp.com/biz/matalasi-skin-care-and-makeup-san-bruno,San Bruno,United States,37.6247,-122.429,matalasi-skin-care-and-makeup-san-bruno
1329,"Bronx, NY 10465 United States",NYC Clown Studio,http://www.yelp.com/biz/nyc-clown-studio-bronx,Bronx,United States,40.8261,-73.8196,nyc-clown-studio-bronx
1345,"Philadelphia, PA 19118 United States",Hill Counseling LLC,http://www.yelp.com/biz/hill-counseling-philadelphia,Philadelphia,United States,40.0723,-75.2034,hill-counseling-philadelphia
1376,"San Francisco, CA 94102 United States",KYU3 noodle & BBQ,http://www.yelp.com/biz/kyu3-noodle-and-bbq-san-francisco-4,San Francisco,United States,37.7813,-122.4167,kyu3-noodle-and-bbq-san-francisco-4
1377,"San Francisco, CA 94109 United States",Vietnam House,http://www.yelp.com/biz/vietnam-house-san-francisco,San Francisco,United States,37.7917,-122.4186,vietnam-house-san-francisco
